;edit_history_tweet_ids;id;text;intent
0;['1622746815522123776'];1622746815522123776;RT @chrisgreybrexit: See also @GerhardSchnyder's more detailed analysis (https://t.co/o7Or57mwdC) and @jonlis1's punchier assessment (https…;politic
1;['1622746567596728321'];1622746567596728320;@LI_politic_guy They are based in Wakanda. I think they are the only political party allowed to exist there as the government is a repressive totalitarian monarchy.;politic
2;['1622746220530929665'];1622746220530929664;@Chris_H_Politic @CelticsJAM @JulianCastro All you can do is say “it isn’t good enough for me!” And you walk back and basically agree with most points but they didn’t pass sweeping go legislation or immigration reform so meh. People like you are more of the problem than the solution.;politic
3;['1622745973633196035'];1622745973633196032;White House's Karine Jean-Pierre confronted with polls showing Americans don't trust Biden https://t.co/L5r8NrX5Sc  - @politic_talks #Politics #Political;politic
4;['1622745766081994752'];1622745766081994752;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
5;['1622745457100308480'];1622745457100308480;@Chris_H_Politic @JulianCastro Currently the US is in the strongest position economically compared to most other western economies and the infrastructure and chps bills you call mediocre will strengthen that position.  You’re not just a mediocre troll …you’re a downright shite troll.;politic
6;['1622745090228899840'];1622745090228899840;The Intrinsic Value of Human Life https://t.co/bMX6jcR65P  - @politic_talks;politic
7;['1622744875765473281'];1622744875765473280;RT @chrisgreybrexit: See also @GerhardSchnyder's more detailed analysis (https://t.co/o7Or57mwdC) and @jonlis1's punchier assessment (https…;politic
8;['1622744568532815872'];1622744568532815872;RT @theericklouis: Y’all can argue the music was good but the same can be said for all the other artists in the category in ADDITION to the…;politic
9;['1622744560249233409'];1622744560249233408;@Chris_H_Politic @CelticsJAM @JulianCastro No I’m not - another nonsensical post. just don’t care enough about leftist purity trolls.;politic
10;['1622744528020013059'];1622744528020013056;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
11;['1622744342703243264'];1622744342703243264;McCarthy’s pre-SOTU message to Biden: ‘Time to get to work’ on debt ceiling, spending deal https://t.co/XVWOL4lIOH  - @politic_talks #Politics #Political;politic
12;['1622744335195459584'];1622744335195459584;Biden admin's closed-door briefing on Chinese spying blasted by top Republican as 'unspecific, insufficient' https://t.co/J8HSvZ4sBd  - @politic_talks #Politics #Political;politic
13;['1622744019821264898'];1622744019821264896;@scidood @pmnordkvist @TSLAFanMtl “Your estimates” lol…tslaQ are DAF, they predict end of world then true up estimates end of quarter and say they are accurate. As you said in Q4 400k+ sales ain’t happening, until they did. Your loser bud politic was at 350k, Gordon the dumbshit said never more than 140k .;politic
