;edit_history_tweet_ids;id;text;withheld;intent
0;['1623471450932801536'];1623471450932801536;@L0CKERHEAD @LI_politic_guy Yaaa that happened to me.;;politic
1;['1623471320091750400'];1623471320091750400;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
2;['1623471205461250050'];1623471205461250048;@L0CKERHEAD @LI_politic_guy Transphobic+Homophobic to gay and non binary pipeline;;politic
3;['1623471123852820480'];1623471123852820480;@LI_politic_guy I used that joke as a way of pushing my real self back, because now I'm trans lmao. How times change;;politic
4;['1623470780226101250'];1623470780226101248;"@brobson_politic It appears increasingly likely that the state health ministers - that is to say, the Premiers - via the Health Ministers Meeting (HMM) - run AHPRA.

Could explain why Andrews' praetorians at Fairfax have been attacking AHPRA on all but vaccines last 6 months - damage control. https://t.co/Lrp6kLCjJN";;politic
5;['1623470688849002496'];1623470688849002496;"@LI_politic_guy I genuinely believed trans ppl were bad and insane
Now I’m a trans person and shit aint too bad https://t.co/BiDJlAmGpw";;politic
6;['1623470663532183552'];1623470663532183552;"RT @MischievousCur: Political ""influencers"" existing at all is a blight on the body politic. You turn complete non-issues into battleground…";;politic
7;['1623470561929179138'];1623470561929179136;@weirdojoe04 @DennIsDoodIes @d4nnyonfilm @SongOfRebellion @LI_politic_guy also likes friday night funkin might i add;;politic
8;['1623470210408910848'];1623470210408910848;"RT @sax_banana: @LI_politic_guy A lot of us had the edgy ""offensive=funny"" phase. The fact that you cringe at your past self doing that mea…";;politic
9;['1623469582341091329'];1623469582341091328;@DefenceU Send air defence soon due to agressor putin. no one survive if now not handle in the end we must handle there no football there is lives of human . destruction climate  react all world .small value have huge power more than agressor. AI CLIMATE . DONT PLAY VICTIM POLITIC AGAIN..;;politic
10;['1623469571855499264'];1623469571855499264;"@LI_politic_guy I frequented /r/TumblrInAction years ago until the three days in a row I vividly remember going ""wait... No, this person is right"" about the subjects of those posts while they were being torn apart in the comments.

Anyway unrelated but I'm non-binary now lmao💜";;politic
11;['1623469520567554048'];1623469520567554048;"Feeling very lib today*

*commenting on local politic bills";;politic
